restaurant_name,name,rating,review
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Long Priyono,5.0,Worth it. Delicious seafood and affordable price. Recommended 👍
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Alex A. ART,4.0,Very recommend.nice & clean food with very affordable price
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Minggus Tan,3.0,"Sorry ... a bit disappointed with the service, may be it was down to being too crowded over the weekend. Had to wait for rice while the food was left cold on the table. The important part of food is the taste, missing ""something"" to be remembered or known for, the fresh crabs cooked in black pepper, salted egg and steam were just so so. The basic morning glory / kangkung although was cooked perfectly but again tasted so so."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Hitesh Mehta,5.0,Good fresh seafood and crab.. You pick.. They cook.. Service was fast.. Ample parking space.. Gurame bakar recommended.. Ready to get your hands dirty.. JUMP right in 👍👍👍👍
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",kevinch,3.0,"They have a spacious parking area as well as dining area, however the restaurant may not be as well-organized given observed by looking at how the servers work. The food portioning is rather bigger than usual, evenmore concerning about the drinks. I ordered combo package which consisted of fried rice, sauteed veggies, fried soft-shell crabs, and deep-fried dory fillet, they had taken approximately 20 minutes as for the food to be ready, which was not quite pleasing pertaining to waiting time. Speaking of the food I ordered, however, the dory was very basic, soka did meet my satisfactory, veggies were not bad. I posted exactly the same for Super Penyet and Krabe restaurant."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Muhammad Afif,3.0,"Not a great expectation doing dinner here on ramadhan. We booked on 6 pm and waiting till 7. We loved the menu with crab, especially with the fried mushroom"
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Yuri Gunardi,2.0,"Overpriced, food is so-so. Everyone who wants good price must bring some kind of discount voucher, which I didn't have that time."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Bintoro Hadiprodjo,3.0,Ok
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Arthur So,5.0,"Many choices indonesian food, good taste, fast responding crew. Reasonable price."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",W H I Z I S M E (Digitalpreneur),5.0,Nice place with seafood variants
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Yi Ming Teo,5.0,The best place semarang for crab.The seafood served here is delicious also.
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Daniel Gabasa,5.0,Definitely the place to go if u are craving for yummy tasting crabs!
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Sarwin Henry,4.0,"Delicious food, good service. Closet needs renovation."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Agung Wardana,5.0,Good
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Klaas Schilder,5.0,"Best Crab, very reasonable, nice people, recommended"
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",allan hendrawan,5.0,Best for the srimping goreng and the black pepper crab.
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",amanda tiar,4.0,Nice food nice palce for family
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",winda rahmawati,4.0,Good..clean..delicious and recommended
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Fanny Gunawan,5.0,Ayam goreng and seafood in one place
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Diana Novita,1.0,Quite expensive for the usual taste..
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Septian Azhari,4.0,"Expensive, cozy, cleanliness"
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",August Valentine,4.0,Ca pu to
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Wahyu Peewee,4.0,Nice taste off seafood
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Johan Kurniawan,5.0,Huge delicious crab
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Juliant iant,3.0,Good services
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",habibah nurlaili,4.0,The food is delicious
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Erry Fachrizal,5.0,So delicious... :-)
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",sugi harto,4.0,Ok
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Ahong Aqso,4.0,Sippp
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Anton Jaden,5.0,"Excelent, Love it"
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Daniel Wibowo,5.0,The number 1 crab
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Caity H.,4.0,Comfortable place
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Francisca Mardiana,5.0,👍👍👍
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Malik Ibrahim,5.0,Good place
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",yono kk,4.0,Nice place
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Heru Haryanto,3.0,recommended
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Adib Fahri,5.0,delicious foods
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Bbm My,5.0,Mantuaaaaaaaab
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Umi Laely,5.0,"(Translated by Google) Have eaten at this place 3 times, the place is clean, the process is well run, parking is wide, and most importantly the food has a lot of variety, is delicious, and the service is fast and friendly. (Original) Sudah 3 kali makan di tempat ini, tempat bersih, prokes dijalankan dengan baik, parkir luas, dan yang paling penting makanannya banyak variasi, enak, dan cepat serta ramah pelayanannya."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",In Quest,4.0,"(Translated by Google) Krabe location is the same as super set. The dishes tend to be sweet, I ordered a seafood package containing 4 menus, 3 of which were sweet. The price of the crab is 33 thousand perons. Quite expensive. Buy a cheaper package. (Original) Lokasi Krabe sama dengan super penyet. Masakannya cenderung manis, saya pesan paket seafood berisi 4 menu, 3 menu nya manis. Harga kepiting nya 33 rb perons. Lumayan mahal. Beli paket lebih murah."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",La Nina,5.0,"(Translated by Google) If you want to bounce seafood here the place alu always satisfied if you eat here. For sure, crab fav menu. Black pepper crab wuuuuu bouncesllll 👍👍, don't forget to order the mussels with seasoning rica huh ... guaranteed huhah. There is a way there is a price, yes, but guaranteed authentic if you come here. 😍😍 A large parking lot and mosque is also available here. (Original) Kalo mau seafood mantul disini tempatnya 🎖️selalu puas kalo makan disini. Menu fav kepiting donk pastinya. Kepiting lada hitam wuuuuu mantulllll 👍👍, jangan lupa pesen kerang ijo bumbu rica ya...dijamin huhah. Ada rupa ada harga ya tapi dijamin asli puas kalo kesini. 😍😍 Parkiran luas dan juga tersedia mushola disini."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Wahyu Budi Setyawan,5.0,"(Translated by Google) One of the main restaurants in the city of Semarang. As the name implies, crab is the main menu of this restaurant. Good service. Large parking space. It should be noted that this restaurant shares with super penyet. Two different managers working together. There is a large mushalla. (Original) Salah satu restoran yg utama di kota semarang. Sesuai namanya, kepiting adalah menu utama restoran ini. Pelayanan baik. Tempat parkir luas. Perlu diperhatikan kalau restoran ini berbagi dgn super penyet. Dua manajenen yg berbeda yg bekerja sama. Ada mushalla yg cukup besar."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Anita Shella Shufa,3.0,"(Translated by Google) For the best place, there is an AC room, clean, ordered too fast, the crab is great, just the sauce is not spicy, less kicking, less tasting, the syrup doesn't fit well with it ... so it's pretty decent (Original) Buat tempat the best sih, ada ruang ac-nya, bersih, pesenen jg cepet dateng, kepitingnya gedhe mantep, cuman kuah padangnya kurang pedes, kurang nendang, kurang kerasa, degannya sirupnya kurang pas aja sama degannya.. jadi yaa lumayan lah"
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Sulthoni Salman,5.0,"(Translated by Google) Absolutely delicious! I ordered the Rica Gurame, Padang Sauce Shrimp, Flour Calamari, and Green Scallops all were delicious and the sauce was very different! But for Es Teler the ice cubes are too much. (Original) Absolutely delicious! Saya pesan Gurame Rica, Udang Saus Padang, Cumi Tepung, dan Kerang Hijau semuanya enak dan kuahnya sangat terasa berbeda! Tapi untuk Es Teler es batu nya terlalu banyak."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",DuniaQtoy,4.0,"(Translated by Google) several times came here. The seafood menu choices are quite a lot. Seductive and beautiful appearance. Have tried the crab, hotplate and pearl fish. It's a shame the Singapore sauce isn't good enough. But overall it's quite fun for the whole family. And the good thing is that visitors who don't like seafood can order the penyet next door. (Original) Several times came here. Pilihan menu seafood cukup banyak. Tampilan menggiurkan dan cakep. Pernah cobain kepiting, hotplate dan ikan mutiara. Sayang saus singapuranya kurang mantap. Tapi overal cukup menyenangkan buat rame-rame sama keluarga. Dan enaknya pengunjung yang ga suka makanan laut bisa order penyet yang ada di sebelah."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Fritzgerald Wibisono,4.0,"(Translated by Google) The food is good, the seafood looks fresh like that. For the menu of fish and crabs the count is per ounce. But for the other portion servings. Suitable for family. The place is a little hard to see, next to it with super penyet (Original) Makanannya enak, seafoodnya keliatan fresh gitu. Untuk menu ikan dan kepiting hitungannya per ons. Tapi untuk yang lainnyabper porsi. Cocok untuk mkan dengan keluarga. Tempatnya sedikit susah terlihat, bersebelahanndengan super penyet"
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Rosita Carolina Yasin,2.0,"(Translated by Google) the service is lacking, for example when we enter we are not immediately arrested, instead we are unemployed for a while, at that time we ordered 3 types of food menus, 2 menus were out, because we were very hungry we ended up eating the 2 menus, until our food was about to run out the second menu 3 finally came out, a little disappointed because the taste was also not worth it to wait. maybe Krabe can suggest a system of offering the food out at the same time so that everyone can eat well. (Original) pelayanannya kurang, misalnya begitu masuk kita tidak segera ditangkap, malah sempat dianggurkan sebentar, waktu itu kita memesan 3 jenis menu makanan, 2 menu sudah keluar, karena kita sangat lapar akhirnya kita memakan 2 menu tsb, sampai makanan kami mau habis menu yang ke-3 akhirnya keluar, sedikit kecewa karena rasanya juga tidak se worth it itu untuk d tunggu. mungkin krabe bisa mengusulkan sistem menawarkan makanan dikeluarkan berbarengan agar semua bisa tersantap mantap."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Santi Rachmawati Gunawan,5.0,"(Translated by Google) Spacious place, some outdoor. The staff is friendly and recommends what seafood to cook with, the seafood is fresh, order the egg crab which is big enough about 3-4 ounces, the Padang sauce is really good, a must try. Other seafood is also delicious but as the name implies, the crab is special. The price is quite affordable. Thank you to the staff from the first time they came, they were served very well, even at the cashier, they were still asked how the review was, if there was any input. It will be one of the checklists for me and my family when I come to Semarang again for culinary here. (Original) Tempat luas, sebagian outdoor. Staff ramah dan beri rekomen seafood nya mau dimasak bumbu apa, seafood nya fresh, pesan kepiting telur cukup besar sekitar 3-4 ons, saos padangnya juara banget must try. Seafood lainnya juga enak tapi sesuai namanya memang kepitingnya istimewa. Utk harga cukup terjangkau. Terima kasih utk para staff dr pertama dtg dilayani dgn sgt baik bahkan sampai di kasir masih ditanyakan bgmn reviewnya apa ada masukan. Bakal jadi salah satu checklist utk saya & keluarga kalau dtg ke semarang lg utk kuliner disini."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",thony wuryanto,4.0,"(Translated by Google) Because the krab specialist, definitely the crab is yummy, the others are average, about the price is also relative, cm should be avoided eating at the end of the closing time, it may not be in the mood to eat. (Original) Karna spesialis krab, pasti krabnya yg yummy, yg lain rata2lah, soal harga jg relatif, cm sebaiknya dihindari makan di akhir waktu hampir tutup, bisa jadi gak mood makannya."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",bambang budiharso,5.0,"(Translated by Google) Provides a variety of seafood ranging from shellfish, shrimp, crabs and fish. Also available are a variety of healthy vegetables. The dining table is plastic coated so that visitors are free to eat the dishes provided. Also provided an apron and crab shell breaking tool. The drink is provided in jumbo portions. Clean, comfortable, spacious parking, there is live music, directly next to Super Penyet. There is an open space and also a glass room. The crabs provided are live crabs, ranging from medium size to jumbo. (Original) Menyediakan aneka seafood mulai kerang, udang, kepiting dan ikan. Juga tersedia beraneka sayuran sehat. Meja makannya dilapisi plastik biar pengunjung leluasa memakan hidangan yang disediakan. Juga disediakan celemek dan alat pemecah cangkang kepiting. Minumannya disediakan dalam porsi jumbo. Bersih, nyaman, parkir luas, ada live music, berdampingan langsung dengan Super Penyet. Ada ruang terbuka dan juga ruangan kaca. Kepiting yang disediakan adalah kepiting hidup, mulai dari ukuran sedang sampai jumbo."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Idris Soleh,5.0,(Translated by Google) Recommended for those of you who like crab. Try the black pepper crab. 😊😊😊 definitely add (Original) Rekomendasi buat anda yang suka kepiting. Cobain kepiting lada hitam. 😊😊😊 pasti nambah
